ID,IATA,Airline,RATING,NUM_OF_REVIEWS
1,JP,Adria Airways [no longer operating],3 of 5 bubbles,675
2,AN,Advanced Air,5 of 5 bubbles,3
3,A3,AEGEAN,4 of 5 bubbles,11.314
4,EI,Aer Lingus,3.5 of 5 bubbles,11.846
5,M0,Aero Mongolia,3 of 5 bubbles,18
6,SU,Aeroflot,3.5 of 5 bubbles,15.271
7,yy,Aerogaviota,3 of 5 bubbles,28
8,DA,Aerolinea de Antioquia,2.5 of 5 bubbles,14
9,AR,Aerolineas Argentinas,4 of 5 bubbles,15.046
10,VW,Aeromar,3 of 5 bubbles,378
11,AM,Aeromexico,3.5 of 5 bubbles,10.167
12,AW,Africa World Airlines,3.5 of 5 bubbles,35
13,XU,African Express Airways,3.5 of 5 bubbles,17
14,8U,Afriqiyah Airways,2.5 of 5 bubbles,10
15,ZI,Aigle Azur [no longer operating],2.5 of 5 bubbles,747
16,AH,Air Algerie,2.5 of 5 bubbles,468
17,3S,Air Antilles,2 of 5 bubbles,196
18,G9,Air Arabia,3 of 5 bubbles,1.913
19,KC,Air Astana,4 of 5 bubbles,1.331
20,UU,Air Austral,3.5 of 5 bubbles,1.439
21,yy,Air Bagan,3 of 5 bubbles,8
22,BT,Air Baltic,3.5 of 5 bubbles,15.306
23,KF,Air Belgium,4.5 of 5 bubbles,13
24,y2,air berlin [no longer operating],3 of 5 bubbles,4.148
25,BP,Air Botswana,3 of 5 bubbles,118
26,2J,Air Burkina,3 of 5 bubbles,25
27,BX,Air Busan,4 of 5 bubbles,320
28,SM,Air Cairo,3 of 5 bubbles,1.347
29,AC,Air Canada,3 of 5 bubbles,26.281
30,RV,Air Canada Rouge,3 of 5 bubbles,7.763
31,TX,Air Caraibes,3.5 of 5 bubbles,2.514
32,Y2,Air Century,3.5 of 5 bubbles,20
33,9H,Air Changan,4 of 5 bubbles,1
34,yy,Air Chathams,4.5 of 5 bubbles,95
35,CA,Air China,3 of 5 bubbles,5.922
36,3E,Air Choice One,3 of 5 bubbles,61
37,XK,Air Corsica,4 of 5 bubbles,566
38,yy,Air Costa (no longer operating),3 of 5 bubbles,37
39,HF,Air Cote d Ivoire,3 of 5 bubbles,67
40,HD,Air Do,4 of 5 bubbles,138
41,EN,Air Dolomiti,4 of 5 bubbles,944
42,UX,Air Europa,3 of 5 bubbles,10.101
43,F4,Air Flamenco,3.5 of 5 bubbles,29
44,AF,Air France,3.5 of 5 bubbles,31.851
45,GL,Air Greenland,3.5 of 5 bubbles,148
46,GT,Air Guilin,2.5 of 5 bubbles,3
47,NY,Air Iceland Connect (**this is not Icelandair**),4 of 5 bubbles,200
48,AI,Air India,3 of 5 bubbles,7.821
49,IX,Air India Express,3 of 5 bubbles,391
50,IG,Air Italy [no longer operating],3 of 5 bubbles,3.783
51,AO,Air Juan,1.5 of 5 bubbles,135
52,yy,AIR KBZ (Air Kanbawza),4 of 5 bubbles,376
53,IK,Air Kiribati,3 of 5 bubbles,1
54,JS,Air Koryo,3.5 of 5 bubbles,80
55,yy,Air Kyrgyzstan,3 of 5 bubbles,6
56,NX,Air Macau,3 of 5 bubbles,202
57,MD,Air Madagascar,2.5 of 5 bubbles,385
58,KM,Air Malta,3.5 of 5 bubbles,2.677
59,ZM,Air Manas,3.5 of 5 bubbles,14
60,MK,Air Mauritius,3.5 of 5 bubbles,2.337
61,MV,Air Mediterranean,2.5 of 5 bubbles,210
62,9U,Air Moldova,3 of 5 bubbles,328
63,SW,Air Namibia,3 of 5 bubbles,753
64,NZ,Air New Zealand,4.5 of 5 bubbles,13.406
65,PX,Air Niugini,3.5 of 5 bubbles,203
66,4N,Air North (Canada),4.5 of 5 bubbles,280
67,YW,Air Nostrum,3.5 of 5 bubbles,466
68,7P,Air Panama,3 of 5 bubbles,205
69,P4,Air Peace,2.5 of 5 bubbles,42
70,yy,Air Pegasus (no longer operating),3.5 of 5 bubbles,122
71,GZ,Air Rarotonga,4.5 of 5 bubbles,55
72,PJ,Air Saint Pierre,4.5 of 5 bubbles,8
73,HC,Air Senegal,3 of 5 bubbles,74
74,RS,Air Seoul,3.5 of 5 bubbles,199
75,JU,Air Serbia,3 of 5 bubbles,1.726
76,HM,Air Seychelles,3 of 5 bubbles,670
77,VT,Air Tahiti,4 of 5 bubbles,322
78,TN,Air Tahiti Nui,3.5 of 5 bubbles,1.584
79,TS,Air Transat,3.5 of 5 bubbles,11.008
80,NF,Air Vanuatu,4 of 5 bubbles,414
81,VL,Air VIA [no longer operating],2 of 5 bubbles,85
82,UM,Air Zimbabwe,2.5 of 5 bubbles,64
83,AK,AirAsia - AirAsia Berhad (Malaysia),3.5 of 5 bubbles,3.422
84,I5,AirAsia - AirAsia India,3 of 5 bubbles,965
85,DJ,AirAsia - AirAsia Japan,3 of 5 bubbles,88
86,D7,AirAsia - AirAsia X Berhad (Malaysia),3.5 of 5 bubbles,1.821
87,QZ,AirAsia - Indonesia AirAsia,3.5 of 5 bubbles,2.498
88,Z2,AirAsia - Philippines AirAsia,3 of 5 bubbles,937
89,FD,AirAsia - Thai AirAsia,3.5 of 5 bubbles,5.873
90,XJ,AirAsia - Thai AirAsia X,3.5 of 5 bubbles,213
91,PA,Airblue,3 of 5 bubbles,62
92,SB,Aircalin,3.5 of 5 bubbles,333
93,P2,AirKenya Express,4 of 5 bubbles,20
94,4Z,Airlink,4 of 5 bubbles,358
95,TL,Airnorth (Australia),4 of 5 bubbles,220
96,T6,AirSWIFT,3.5 of 5 bubbles,311
97,AS,Alaska Airlines,4 of 5 bubbles,15.943
98,J5,Alaska Seaplanes,4.5 of 5 bubbles,32
99,AP,Alba Star,3 of 5 bubbles,867
100,ZR,Alexandria Airlines,3.5 of 5 bubbles,2
101,AZ,Alitalia,3 of 5 bubbles,19.715
102,G4,Allegiant Air,3.5 of 5 bubbles,9.700
103,QQ,Alliance Airlines,3.5 of 5 bubbles,76
104,UJ,AlMasria Universal,2 of 5 bubbles,230
105,6R,ALROSA,4 of 5 bubbles,13
106,6I,Alsie Express,5 of 5 bubbles,27
107,Z8,Amazonas,3.5 of 5 bubbles,245
108,AA,American Airlines,3 of 5 bubbles,70.381
109,NH,ANA (All Nippon Airways),4.5 of 5 bubbles,10.194
110,yy,AnadoluJet,3.5 of 5 bubbles,527
111,OY,Andes Lineas Aereas,2.5 of 5 bubbles,856
112,2G,Angara Airlines,4 of 5 bubbles,13
113,Q3,Anguilla Air Services,4.5 of 5 bubbles,101
114,FG,Ariana Afghan Airlines,2.5 of 5 bubbles,5
115,W3,Arik Air,2 of 5 bubbles,115
116,IZ,Arkia Israel Airlines,3 of 5 bubbles,715
117,AG,Aruba Airlines,2.5 of 5 bubbles,123
118,yy,Aserca Airlines (no longer operating),3 of 5 bubbles,74
119,HB,Asia Atlantic Airlines,3.5 of 5 bubbles,7
120,OZ,Asiana Airlines,4 of 5 bubbles,3.544
121,KP,ASKY Airlines,3 of 5 bubbles,78
122,5O,ASL France,3 of 5 bubbles,561
123,A2,Astra Airlines,3 of 5 bubbles,234
124,yy,ATA Airlines (Iran),2.5 of 5 bubbles,50
125,RC,Atlantic Airways,4.5 of 5 bubbles,216
126,5Y,Atlas Air,3 of 5 bubbles,57
127,yy,Atlas Atlantique [no longer operating],-1 of 5 bubbles,0
128,KK,AtlasGlobal [no longer operating],3.5 of 5 bubbles,1.142
129,GR,Aurigny,4 of 5 bubbles,355
130,HZ,Aurora,4 of 5 bubbles,60
131,AU,Austral Lineas Aereas,4 of 5 bubbles,209
132,OS,Austrian Airlines,3.5 of 5 bubbles,8.042
133,AV,Avianca,4 of 5 bubbles,18.535
134,9V,Avior Airlines,2.5 of 5 bubbles,196
135,J2,Azerbaijan Airlines,4 of 5 bubbles,576
136,A4,Azimuth,3.5 of 5 bubbles,107
137,AJ,Aztec Airways,4 of 5 bubbles,8
138,AD,Azul,4.5 of 5 bubbles,15.976
139,ZF,Azur Air,3.5 of 5 bubbles,1.717
140,UP,Bahamasair,2.5 of 5 bubbles,511
141,QH,Bamboo Airways,3.5 of 5 bubbles,139
142,PG,Bangkok Airways,4 of 5 bubbles,4.562
143,5B,Bassaka Air,4 of 5 bubbles,95
144,ID,Batik Air,3.5 of 5 bubbles,1.122
145,BD,Bayon Airlines,3 of 5 bubbles,37
146,JV,Bearskin Airlines,3 of 5 bubbles,9
147,JD,Beijing Capital Airlines,3 of 5 bubbles,91
148,Z9,Bek Air,3 of 5 bubbles,28
149,B2,Belavia Belarusian Airlines,4 of 5 bubbles,1.099
150,8H,BH Air,2.5 of 5 bubbles,18
151,B3,Bhutan Airlines,4.5 of 5 bubbles,146
152,BG,Biman Bangladesh Airlines,3 of 5 bubbles,355
153,NT,Binter,4 of 5 bubbles,909
154,0B,Blue Air,3.5 of 5 bubbles,3.134
